Name,Image,VFX,VFXType,DIY,Buy,Sell,Color1,Color2,Source,SourceNotes,Catalog,WindowType,WindowColor,PaneType,CurtainType,CurtainColor,CeilingType,HHAConcept1,HHAConcept2,HHASeries,Tag
mod wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMod00.png,No,NA,No,1220,305,orange,orange,Nook's Cranny,,fs,four pane,natural wood,glass,roller shades,undyed,wood,party,None,None,cloth walls
modern shoji-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallShojiModem00.png,Yes,NA,No,1150,287,brown,white,Nook's Cranny,,fs,none,na,na,none,na,wood,zen-style,shop,None,japanese style
modern tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud02.png,No,NA,No,1750,437,brown,brown,Nook's Cranny,,fs,circle,dark wood,screen,none,na,stone,zen-style,shop,None,tea room walls
modern wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMixwood00.png,No,NA,Yes,-1,1800,brown,brown,Crafting,,nfs,single pane,natural wood,glass,slatted blinds,brown wood,wood,living room,child's room,None,wood walls
monochromatic dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot00.png,No,NA,No,1100,275,gray,white,Nook's Cranny,,fs,four pane,dark wood,glass,curtains,white,stone,fancy,child's room,None,dot
monochromatic-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile00.png,No,NA,No,1420,355,gray,white,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,stone,bathroom,facility,None,tile walls
mortar wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPlaster00.png,No,NA,No,3000,750,gray,gray,Saharah,,nfs,none,na,na,none,na,stone,zen-style,None,None,stone walls
mosaic-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMosaicTile00.png,No,NA,No,1450,362,black,white,Nook's Cranny,,fs,four pane,grey wood,glass,roller shades,white,stone,bathroom,facility,None,tile walls
mossy-garden wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMoss00.png,No,NA,No,3000,750,green,green,Saharah,,nfs,none,na,na,none,na,cloth,zen-style,None,None,nature walls
mush wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMush00.png,No,NA,Yes,-1,21400,orange,brown,Crafting,Mushroom seasonal DIY,nfs,four pane,white wood,glass,roller shades,undyed,wood,fancy,None,mush,cloth walls
nook inc. wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFirst00.png,No,NA,No,-1,6000,white,light blue,Nook Miles Shop,,nfs,four pane,dark wood,glass,curtains,white,plain,fancy,shop,None,cloth walls
ocean-horizon wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallHorizon00.png,Yes,Synchro,No,3000,750,blue,light blue,Saharah,,nfs,none,na,na,none,na,tile,ocean,None,None,special cool nature walls
office wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOffice00.png,No,NA,No,3000,750,white,light blue,Saharah,,nfs,none,na,na,none,na,wood,office,None,None,special walls
old wallpaper,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOld00.png,No,NA,No,200,50,beige,beige,Nook's Cranny,,fs,four pane,white wood,glass,none,na,stone,horror,None,None,cloth walls
olive desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco03.png,No,NA,No,2440,610,yellow,yellow,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,cloth,bathroom,facility,None,morocco
orange camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage03.png,No,NA,No,1150,287,orange,orange,Nook's Cranny,,fs,single pane,grey wood,glass,slatted blinds,white plastic,cloth,party,child's room,None,camouflage
orange molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold00.png,No,NA,No,1980,495,orange,beige,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,cloth,fancy,child's room,None,panel mold walls
orange wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOrange00.png,No,NA,Yes,-1,4000,orange,orange,Crafting,,nfs,four pane,grey wood,glass,roller shades,white,stone,fancy,child's room,fruits,fruit walls
orange-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco01.png,No,NA,No,1600,400,orange,orange,Nook's Cranny,,fs,four pane,natural wood,glass,none,na,stone,fancy,child's room,None,stucco walls
paintball wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallAtelier00.png,No,NA,No,3000,750,white,colorful,Saharah,,nfs,single pane,grey metal,glass,slatted blinds,aluminium,stone,garage,facility,None,stone walls
palace wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallPalace00.png,Yes,NA,No,3000,750,beige,white,Saharah,,nfs,none,na,na,none,na,cloth,expensive,folk art,None,special inorganic walls
party wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallParty00.png,No,NA,No,-1,370,colorful,white,Birthday,,nfs,four pane,dark wood,glass,roller shades,white,wood,party,fancy,None,cloth walls
pastel dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot01.png,No,NA,No,1100,275,white,colorful,Nook's Cranny,,fs,four pane,dark wood,glass,curtains,white,cloth,fancy,child's room,None,dot
pastel puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle00.png,No,NA,No,1540,385,white,white,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,stone,fancy,child's room,None,puzzle walls
peach two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile04.png,No,NA,No,1850,462,pink,pink,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,cloth,bathroom,facility,None,two-tone tile walls
peach wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPeach00.png,No,NA,Yes,-1,4000,pink,pink,Crafting,,nfs,four pane,grey wood,glass,roller shades,white,cloth,fancy,child's room,fruits,fruit walls
pear wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPear00.png,No,NA,Yes,-1,4000,green,green,Crafting,,nfs,four pane,grey wood,glass,roller shades,white,tile,fancy,child's room,fruits,fruit walls
perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard01.png,No,NA,No,1180,295,brown,brown,Nook's Cranny,,fs,none,na,na,none,na,wood,music,facility,None,pegboard walls
pink blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry01.png,No,NA,No,1760,440,pink,brown,Nook's Cranny,,fs,four pane,dark wood,glass,curtains,red checkered,stone,fancy,living room,None,country
pink diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner01.png,No,NA,No,2420,605,pink,colorful,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,wood,fancy,shop,None,diner walls
pink flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower00.png,No,NA,No,1780,445,pink,pink,Nook's Cranny,,fs,four pane,natural wood,glass,curtains,pink,cloth,fancy,living room,None,flower walls
pink heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart01.png,No,NA,No,1280,320,pink,pink,Nook's Cranny,,fs,four pane,white wood,glass,roller shades,white,wood,fancy,child's room,None,heart walls
pink painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood02.png,No,NA,No,1650,412,pink,pink,Nook's Cranny,,fs,four pane,white wood,glass,none,na,cloth,fancy,child's room,None,painted wood
pink playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy01.png,No,NA,No,2540,635,pink,pink,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,cloth,child's room,fancy,None,toy walls
pink quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse00.png,No,NA,No,2150,537,pink,white,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white lace,stone,fancy,child's room,None,dollhouse walls
pink shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin01.png,No,NA,No,620,155,pink,pink,Nook's Cranny,,fs,single pane,grey wood,glass,slatted blinds,white plastic,wood,garage,None,None,tin walls
pink simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple02.png,No,NA,No,750,187,pink,pink,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white,tile,child's room,living room,None,simple walls
pink-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown02.png,No,NA,No,2350,587,pink,white,Nook's Cranny,,fs,none,na,na,none,na,cloth,fancy,expensive,None,crown walls
pink-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe01.png,No,NA,No,1520,380,pink,white,Nook's Cranny,,fs,four pane,white wood,glass,roller shades,white,cloth,fancy,child's room,None,stripe walls
purple camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage02.png,No,NA,No,1150,287,purple,purple,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,stone,party,child's room,None,camouflage
purple desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco02.png,No,NA,No,2440,610,purple,purple,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,wood,bathroom,facility,None,morocco
purple dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot04.png,No,NA,No,1100,275,purple,white,Nook's Cranny,,fs,four pane,natural wood,glass,curtains,white,cloth,fancy,child's room,None,dot
purple puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle03.png,No,NA,No,1540,385,purple,colorful,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,cloth,None,None,None,puzzle walls
purple quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse03.png,No,NA,No,2150,537,purple,white,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white lace,wood,fancy,child's room,None,dollhouse walls
purple-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose01.png,No,NA,No,1720,430,purple,purple,Nook's Cranny,,fs,arch,grey metal,glass,none,na,stone,fancy,None,None,rose walls
rammed-earth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHanchiku00.png,No,NA,No,1800,450,brown,beige,Nook's Cranny,,fs,none,na,na,none,na,stone,folk art,None,None,stone walls
ramshackle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRuins00.png,No,NA,No,3000,750,brown,beige,Saharah,,nfs,four pane,dark wood,glass,none,na,wood,horror,None,None,stone walls
red art-deco wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallArtDeco01.png,No,NA,No,2780,695,red,black,Nook's Cranny,,fs,arch,grey metal,glass,none,na,wood,child's room,living room,None,art deco walls
red delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor01.png,No,NA,No,1900,475,red,brown,Nook's Cranny,,fs,four pane,dark wood,glass,roller shades,undyed,wood,expensive,living room,None,manor walls
red dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot02.png,No,NA,No,1100,275,red,red,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white,cloth,fancy,child's room,None,dot
red heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart03.png,No,NA,No,1280,320,red,red,Nook's Cranny,,fs,four pane,white wood,glass,roller shades,white,wood,fancy,child's room,None,heart walls
red intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop03.png,No,NA,No,1570,392,red,white,Nook's Cranny,,fs,four pane,grey wood,glass,roller shades,white,tile,living room,shop,None,flower pop walls
red perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard03.png,No,NA,No,1180,295,red,red,Nook's Cranny,,fs,none,na,na,none,na,stone,music,facility,None,pegboard walls
red two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile03.png,No,NA,No,1850,462,red,red,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,wood,bathroom,facility,None,two-tone tile walls
red-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick01.png,No,NA,No,1000,250,red,brown,Nook's Cranny,,fs,four pane,dark wood,glass,none,na,wood,facility,shop,None,brick
retro flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallKitsch00.png,No,NA,No,1660,415,green,green,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white lace,plain,fancy,living room,None,cloth walls
rice-paddy wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallFarm00.png,Yes,Synchro,No,3000,750,light blue,green,Saharah,,nfs,none,na,na,none,na,plain,garden,None,None,special cool nature walls
ringside seating,https://acnhcdn.com/latest/FtrIcon/RoomSpWallWrestling00.png,Yes,NA,No,3000,750,black,black,Saharah,,nfs,none,na,na,none,na,stone,fitness,None,None,special walls
rock-climbing wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBouldering00.png,No,NA,No,3000,750,white,colorful,Saharah,,nfs,none,na,na,none,na,wood,fitness,None,None,neta walls
rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose00.png,No,NA,No,1720,430,red,white,Nook's Cranny,,fs,arch,wood,glass,none,na,stone,fancy,None,None,rose walls
ruins wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRemains00.png,No,NA,No,3000,750,black,gray,Saharah,,nfs,none,na,na,none,na,stone,horror,folk art,None,nature walls
rustic-stone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStone00.png,No,NA,Yes,-1,1750,gray,gray,Crafting,,nfs,four pane,dark wood,glass,none,na,wood,facility,shop,None,stone walls
sakura-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSolidWood00.png,No,NA,Yes,-1,3200,pink,pink,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),nfs,four pane,grey wood,glass,curtains,pink,tile,child's room,fancy,cherry blossoms,wood walls
sci-fi wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSF00.png,Yes,Random,Yes,-1,7500,black,black,Crafting,,nfs,none,na,na,none,na,wood,space,facility,None,special inorganic walls
screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFusuma00.png,No,NA,No,3000,750,white,white,Nook's Cranny,,fs,none,na,na,none,na,plain,zen-style,facility,None,japanese style
sea view,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSeaView00.png,Yes,Synchro,No,3000,750,light blue,blue,Saharah,,nfs,none,na,na,none,na,tile,ocean,None,None,special cool nature walls
security-monitors wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallMonitor00.png,Yes,Random,No,3000,750,black,gray,Saharah,,nfs,none,na,na,none,na,cloth,facility,None,None,special inorganic walls
sepia puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle02.png,No,NA,No,1540,385,beige,colorful,Nook's Cranny,,fs,single pane,white metal,glass,slatted blinds,white plastic,tile,fancy,child's room,None,puzzle walls
server-room wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallServer00.png,Yes,Random,No,3000,750,black,black,Saharah,,nfs,none,na,na,none,na,wood,facility,None,None,special inorganic walls
shoji screen,https://acnhcdn.com/latest/FtrIcon/RoomSpWallShoji00.png,Yes,NA,No,1880,470,beige,white,Nook's Cranny,,fs,none,na,na,none,na,stone,zen-style,None,None,japanese style
shutter wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallShutter00.png,No,NA,No,3000,750,white,gray,Saharah,,nfs,none,na,na,none,na,plain,facility,shop,None,iron walls
ski-slope wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallGelande00.png,Yes,Synchro,Yes,-1,3200,white,white,Crafting,Winter seasonal DIY using snowflakes (caught with net),nfs,none,na,na,none,na,cloth,freezing cold,None,None,special cool nature walls
skull wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSkull00.png,Yes,LightOff,No,3000,750,black,black,Nook's Cranny,,fs,single pane,black metal,glass,slatted blinds,black plastic,plain,horror,child's room,None,special inorganic walls
sky wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallCloud00.png,Yes,Synchro,No,3000,750,light blue,white,Saharah,,nfs,none,na,na,none,na,stone,fancy,None,None,special cool nature walls
skyscraper wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSkyscraper00.png,No,NA,No,3000,750,black,gray,Saharah,,nfs,none,na,na,none,na,cloth,expensive,None,None,neta walls
snowflake wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSnowCrystal00.png,No,NA,Yes,-1,4800,light blue,light blue,Crafting,Winter seasonal DIY using snowflakes (caught with net),nfs,four pane,grey wood,glass,roller shades,white,wood,freezing cold,None,None,cloth walls
soothing tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud01.png,No,NA,No,1750,437,white,beige,Nook's Cranny,,fs,circle,natural wood,screen,none,na,wood,zen-style,shop,None,tea room walls
stacked-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFireWood00.png,No,NA,Yes,-1,1800,brown,brown,Crafting,,nfs,none,na,na,none,na,plain,garage,facility,None,wood walls
stadium wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStadium00.png,Yes,NA,No,3000,750,colorful,colorful,Saharah,,nfs,none,na,na,none,na,wood,fitness,None,None,special cool nature walls
standard tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud00.png,No,NA,No,1750,437,green,green,Nook's Cranny,,fs,circle,natural wood,screen,none,na,cloth,zen-style,None,None,tea room walls
starry wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStarPrint00.png,Yes,LightOff,Yes,-1,7500,gray,white,Crafting,,nfs,four pane,white wood,glass,roller shades,white,plain,fancy,child's room,None,special cool nature walls
starry-sky wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStarSky00.png,Yes,NA,Yes,-1,7500,blue,blue,Crafting,,nfs,none,na,na,none,na,stone,space,None,stars,special cool nature walls
stately wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRenaissance00.png,No,NA,No,2450,612,white,white,Nook's Cranny,,fs,none,na,na,none,na,stone,expensive,None,None,asia
steel-frame wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSteel00.png,No,NA,Yes,-1,6000,red,gray,Crafting,,nfs,none,na,na,none,na,stone,garage,facility,None,iron walls
stone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBasement00.png,No,NA,Yes,-1,1500,black,gray,Crafting,,nfs,none,na,na,none,na,plain,horror,facility,None,stone walls
stormy-night wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallThunder00.png,Yes,Random,No,3000,750,black,gray,Saharah,,nfs,none,na,na,none,na,stone,horror,None,None,special warm nature walls
straw wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStraw00.png,No,NA,No,3000,750,beige,beige,Saharah,,nfs,none,na,na,none,na,tile,folk art,None,None,wood walls
strawberry-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate02.png,No,NA,No,3000,750,pink,pink,Saharah,,nfs,none,na,na,none,na,stone,fancy,None,None,chocolate
street-art wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStreetArt00.png,No,NA,No,3000,750,colorful,colorful,Saharah,,nfs,none,na,na,none,na,plain,garage,None,None,neta walls
summit wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallMountainTop00.png,Yes,Synchro,No,3000,750,black,white,Saharah,,nfs,none,na,na,none,na,stone,garden,None,None,special cool nature walls
tree-lined wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRoadsideTree00.png,No,NA,No,3000,750,green,light blue,Saharah,,nfs,none,na,na,none,na,plain,garden,None,None,nature walls
tropical vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallTropical00.png,Yes,Synchro,Yes,-1,6000,light blue,beige,Crafting,Summer seasonal DIY using summer shells (found on beach),nfs,none,na,na,none,na,plain,ocean,None,None,special cool nature walls
underwater wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallFishTank00.png,Yes,Synchro,Yes,-1,8600,blue,light blue,Crafting,Summer seasonal DIY using summer shells (found on beach),nfs,none,na,na,none,na,stone,ocean,None,None,special cool nature walls
wavy-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWaveTile00.png,No,NA,No,1740,435,gray,white,Nook's Cranny,,fs,none,na,na,none,na,plain,shop,facility,None,tile walls
wedding-party wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallJuneBride00.png,,,No,1750,437.5,none,none,Wedding Season,,nfs,,,,,,,party,expensive,wedding,cloth walls
western vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallWilderness00.png,Yes,Synchro,No,3000,750,brown,beige,Saharah,,nfs,none,na,na,none,na,stone,folk art,horror,None,special cool nature walls
white botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile00.png,No,NA,No,1240,310,white,white,Nook's Cranny,,fs,single pane,white wood,glass,slatted blinds,white plastic,wood,facility,expensive,None,wood tile walls
white delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor00.png,No,NA,No,1900,475,white,white,Nook's Cranny,,fs,four pane,dark wood,glass,roller shades,undyed,wood,expensive,living room,None,manor walls
white hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall02.png,No,NA,No,2000,500,white,white,Nook's Cranny,,fs,none,na,na,none,na,stone,facility,music,None,hall walls
white honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb03.png,No,NA,No,1680,420,white,white,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,wood,bathroom,facility,None,honeycomb
white painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood03.png,No,NA,No,1650,412,white,white,Nook's Cranny,,fs,four pane,white wood,glass,none,na,tile,living room,child's room,None,painted wood
white perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard00.png,No,NA,No,1180,295,white,white,Nook's Cranny,,fs,none,na,na,none,na,wood,music,facility,None,pegboard walls
white simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple00.png,No,NA,No,750,187,white,white,Nook's Cranny,,fs,four pane,light wood,glass,curtains,white,stone,child's room,living room,None,simple walls
white subway-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMetro01.png,No,NA,No,1340,335,white,white,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,wood,facility,shop,None,metro walls
white wedding wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallChurch00.png,,,No,3000,750,none,none,Wedding Season,,nfs,,,,,,,party,expensive,wedding,cloth walls
white-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick00.png,No,NA,No,1000,250,white,white,Nook's Cranny,,fs,four pane,white wood,glass,none,na,tile,facility,shop,None,brick
white-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate01.png,No,NA,No,3000,750,white,beige,Saharah,,nfs,none,na,na,none,na,wood,fancy,None,None,chocolate
white-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose02.png,No,NA,No,1720,430,pink,white,Nook's Cranny,,fs,arch,grey metal,glass,none,na,stone,fancy,None,None,rose walls
wild-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWildWood00.png,No,NA,Yes,-1,1800,black,black,Crafting,,nfs,single pane,dark wood,glass,slatted blinds,dark brown wood,wood,living room,shop,None,wood walls
wooden-knot wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCedar00.png,No,NA,Yes,-1,1800,brown,brown,Crafting,,nfs,four pane,natural wood,glass,roller shades,undyed,stone,living room,child's room,None,wood walls
wooden-mosaic wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMixPlankWood00.png,No,NA,Yes,-1,1800,brown,brown,Crafting,,nfs,single pane,natural wood,glass,slatted blinds,brown wood,stone,living room,shop,None,wood plank walls
woodland wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallJukai00.png,No,NA,Yes,-1,1380,green,green,Crafting,,nfs,none,na,na,none,na,wood,horror,facility,None,nature walls
yellow flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower02.png,No,NA,No,1780,445,yellow,yellow,Nook's Cranny,,fs,four pane,dark wood,glass,curtains,yellow,cloth,fancy,living room,None,flower walls
yellow heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart02.png,No,NA,No,1280,320,yellow,yellow,Nook's Cranny,,fs,four pane,white wood,glass,roller shades,white,wood,fancy,child's room,None,heart walls
yellow intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop01.png,No,NA,No,1570,392,yellow,white,Nook's Cranny,,fs,four pane,grey wood,glass,roller shades,white,cloth,living room,shop,None,flower pop walls
yellow playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy03.png,No,NA,No,2540,635,yellow,yellow,Nook's Cranny,,fs,sliding pane,white metal,glass,none,na,cloth,child's room,fancy,None,toy walls
yellow quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse02.png,No,NA,No,2150,537,yellow,white,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white lace,wood,fancy,child's room,None,dollhouse walls
yellow simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple01.png,No,NA,No,750,187,beige,yellow,Nook's Cranny,,fs,four pane,white wood,glass,curtains,white,stone,child's room,living room,None,simple walls
yellow-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco00.png,No,NA,No,1600,400,yellow,yellow,Nook's Cranny,,fs,four pane,natural wood,glass,none,na,cloth,fancy,child's room,None,stucco walls
yellow-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe04.png,No,NA,No,1520,380,yellow,beige,Nook's Cranny,,fs,four pane,white wood,glass,roller shades,white,cloth,fancy,child's room,None,stripe walls
